10 554 503 390 364 358 398 551 317 636 568 562 458 583 500 590 451 470 503 495 541 571 612 375 562 840 719 814 782 811 727 741 766 480 417 446 434 532 566 360 480 527 636 592 589 622 591 661 615 544 552 498 554 542 587 528 574 533 607 590 613 508 537 520 550
15 201 174 142 144 151 211 242 168 202 192 160 185 184 211 187 187 142 159 170 200 181 212 140 99 207 212 189 193 158 183 176 181 182 179 165 183 192 204 176 200 192 239 170 189 198 187 209 232 247 196 153 161 209 197 214 189 208 192 182 216 170 189 223 185
20 94 88 75 79 80 112 119 114 106 114 109 95 102 115 104 99 57 79 90 93 73 97 72 41 105 76 77 73 54 64 53 79 95 97 102 103 92 102 119 119 91 91 100 102 88 89 106 102 123 117 78 103 98 112 118 107 96 103 103 126 100 112 119 90
25 51 59 46 45 68 86 77 77 61 69 63 75 52 84 59 73 22 46 61 40 53 44 49 28 41 58 25 43 28 29 19 39 53 74 85 72 74 62 70 65 60 56 55 62 54 60 60 65 69 56 52 55 71 59 61 67 58 52 45 65 55 61 67 56
30 37 35 35 20 40 54 49 70 33 47 44 60 27 54 38 68 24 30 36 26 32 29 32 22 21 33 23 27 18 10 11 28 38 38 40 57 44 55 38 50 39 30 17 28 25 34 35 34 38 30 31 46 38 41 49 45 35 22 40 33 46 44 39 43
35 19 21 15 40 31 40 42 69 29 35 30 48 35 24 27 43 17 35 24 26 29 22 20 5 15 27 8 16 13 8 16 24 39 43 57 31 26 31 35 48 33 27 19 24 26 34 26 34 24 19 20 26 27 31 42 28 22 17 29 25 23 21 30 31
40 25 14 12 11 23 28 21 35 17 33 17 37 16 30 22 25 10 23 15 16 16 13 19 16 13 22 8 13 6 10 13 15 31 25 24 23 24 31 35 36 15 16 18 19 24 19 20 28 31 15 19 22 22 19 19 21 17 12 13 23 16 26 24 9
45 14 10 10 13 25 21 20 38 18 15 23 28 14 20 20 20 10 20 16 7 12 7 11 8 8 14 4 8 6 3 5 11 13 22 19 28 19 20 23 28 13 11 7 14 21 11 12 16 10 10 16 10 15 12 15 6 17 6 10 13 20 13 17 8
50 12 9 8 15 7 18 18 27 8 17 9 22 13 21 10 21 8 9 13 12 12 5 9 7 1 6 2 6 3 2 7 12 23 19 21 23 12 10 24 18 17 8 10 10 10 10 9 7 15 7 10 6 8 13 11 22 15 6 13 11 12 0 15 10
55 11 10 9 5 8 11 17 17 6 10 10 20 11 18 10 17 0 8 10 6 3 9 9 3 4 10 4 1 0 1 5 6 19 21 15 15 7 10 23 20 11 8 9 9 8 7 13 8 13 4 7 14 9 17 9 8 14 2 8 3 5 0 10 8
60 6 3 4 8 7 13 14 16 9 14 13 9 5 8 13 16 5 6 8 10 6 3 5 2 1 6 1 5 5 1 5 7 15 14 17 14 11 9 21 19 7 7 5 3 5 6 5 8 7 5 9 6 10 2 12 7 9 3 8 7 7 0 8 4
65 5 6 4 4 2 13 5 19 4 10 5 14 6 9 13 8 0 8 10 4 9 6 9 0 2 7 3 4 0 2 3 9 13 10 20 13 9 8 11 8 10 4 4 5 4 3 5 4 8 4 3 8 7 2 5 6 4 3 3 6 6 0 9 3
70 4 4 4 6 3 14 4 16 4 9 7 13 4 4 7 8 0 11 4 6 4 3 4 1 3 5 0 5 3 1 2 3 6 6 10 8 5 8 5 6 6 2 1 8 5 7 1 6 6 5 7 3 3 6 3 10 3 3 3 2 4 0 7 5
75 6 8 5 6 0 5 5 6 4 5 8 7 8 5 6 2 7 6 5 12 18 9 7 2 2 6 2 1 2 2 1 3 4 5 8 8 7 6 9 11 3 7 5 6 3 3 5 7 4 3 2 3 4 6 2 8 6 7 8 5 5 0 4 6
80 0 8 2 6 4 10 3 4 6 3 7 8 3 3 9 12 5 7 2 2 5 6 3 2 3 4 2 1 1 0 1 3 10 4 10 7 5 5 11 3 3 2 2 5 5 6 1 1 3 5 5 12 4 6 3 5 6 3 2 2 2 0 6 3
85 4 2 6 5 5 7 4 3 8 5 5 4 4 5 2 3 0 0 3 4 4 2 1 2 3 3 1 4 2 1 1 5 7 2 5 3 5 4 7 6 3 4 1 0 4 2 2 1 2 3 3 7 2 2 2 0 2 4 4 1 7 0 1 7
90 4 4 0 4 2 4 5 2 3 0 7 6 4 0 2 0 0 8 3 2 3 1 3 0 0 2 0 1 1 0 3 1 6 5 7 9 0 3 5 2 2 0 2 0 5 1 0 0 3 5 2 2 5 0 2 3 0 0 0 0 3 0 2 2
95 5 2 0 0 4 4 4 7 4 0 3 7 2 5 4 0 5 0 0 8 1 1 2 1 2 3 0 1 2 0 2 3 3 5 3 4 2 7 4 3 1 0 4 1 2 3 1 3 4 1 1 2 4 2 0 6 0 2 0 1 3 0 4 1
100 0 4 0 0 0 3 5 5 2 4 0 6 4 4 2 3 5 6 3 4 1 1 3 1 1 1 0 1 4 1 2 1 2 4 5 2 2 3 2 6 2 2 2 2 2 1 4 2 2 3 1 2 0 0 0 0 2 0 3 1 2 0 1 0
